factor_id,factor_switch_score_pre40,factor_switch_score_pre20,mean_abs_Rdiff_pre40
f276,60,28,1.4625
f2834,60,24,2.5
f2883,60,27,4.2375
f3157,60,24,1.225
f3775,60,38,3.1625
f3876,60,30,4.275
f4185,60,27,5.4125
f5288,60,22,3.275
f5869,60,28,4.0
f6694,60,26,1.5625
f685,60,32,3.5
f928,60,28,2.0125
f1134,59,27,4.95
f2866,59,29,2.375
f3085,59,32,0.7625
f3465,59,20,1.3625
f3471,59,23,2.3
f36,59,20,4.85
f3853,59,34,1.5375
f4477,59,26,3.6
f5557,59,27,2.425
f646,59,21,2.825
f2027,58,23,1.1125
f2358,58,28,3.9375
f253,58,28,2.0125
f2568,58,24,3.525
f316,58,24,2.0
f3237,58,25,6.4375
f3238,58,34,3.0
f3240,58,31,2.3125
f3491,58,20,1.2875
f3957,58,29,2.3375
f4076,58,31,3.8125
f4079,58,35,2.35
f4450,58,30,3.0
f5058,58,28,2.225
f5075,58,36,3.5
f5879,58,28,3.525
f640,58,30,4.0125
f669,58,26,3.15
f676,58,22,3.9375
f7379,58,32,2.1
f766,58,27,2.1375
f875,58,30,3.1
f158,57,30,1.775
f1679,57,34,4.025
f1766,57,27,2.1
f2779,57,28,5.25
f3287,57,29,1.3875
f3437,57,24,2.75
f3442,57,26,3.175
f3494,57,24,1.0875
f3748,57,30,5.175
f394,57,22,3.25
f4181,57,23,4.7875
f4284,57,28,3.0875
f434,57,22,4.175
f5871,57,23,2.5625
f868,57,22,3.875
f887,57,29,4.0375
f1057,56,24,2.3875
f1557,56,24,3.2125
f1638,56,30,4.675
f1730,56,24,5.125
f211,56,30,2.9625
f2368,56,25,3.8
f2888,56,24,3.9625
f3046,56,20,1.4875
f3134,56,20,2.4125
f3475,56,24,5.8375
f3657,56,24,1.2875
f3944,56,30,2.275
f4050,56,32,2.025
f444,56,28,5.025
f466,56,25,4.8
f4882,56,22,3.8625
f5283,56,20,3.525
f5367,56,27,3.6875
f566,56,28,1.1375
f5783,56,25,4.225
f659,56,20,4.0
f6672,56,24,1.3375
f679,56,29,1.775
f6881,56,22,1.525
f7188,56,25,4.6125
f7788,56,23,3.075
f7988,56,25,4.9375
f827,56,28,5.3
f8287,56,25,2.725
f834,56,21,3.05
f1130,55,28,2.8125
f1453,55,30,2.475
f1685,55,31,3.55
f213,55,26,2.7875
f2777,55,24,2.825
f2830,55,26,2.55
f3037,55,29,2.25
f3744,55,33,2.325
f4065,55,27,3.1
f5275,55,28,2.7625
f5284,55,24,3.9
f5769,55,28,3.9125
f5770,55,24,4.175
f582,55,24,2.025
f612,55,21,2.85
f6774,55,29,1.6875
f1734,54,20,1.725
f1768,54,20,2.5
f2267,54,23,3.025
f248,54,27,2.2875
f371,54,21,4.4375
f3869,54,30,5.825
f3879,54,34,1.5
f3973,54,25,2.85
f4275,54,30,3.8875
f4486,54,24,3.0625
f4496,54,23,3.3125
f467,54,28,2.225
f5066,54,27,5.0375
f5357,54,26,4.0375
f5789,54,22,5.7125
f5874,54,24,1.0875
f5967,54,26,0.5
f665,54,20,3.775
f6686,54,22,2.35
f6982,54,22,2.5
f7386,54,25,4.0125
f8390,54,22,2.7875
f948,54,27,3.55
f2344,53,31,3.675
f2448,53,35,3.55
f2584,53,26,2.15
f271,53,23,3.525
f29,53,31,4.075
f3144,53,22,3.9125
f324,53,23,1.225
f3275,53,33,4.15
f3496,53,23,4.4625
f4044,53,31,5.75
f4191,53,19,4.8625
f5375,53,30,2.35
f5382,53,26,3.3875
f540,53,39,1.7375
f575,53,32,4.45
f5760,53,23,1.95
f6794,53,31,4.075
f758,53,26,2.05
f8891,53,21,1.0
f1150,52,29,5.225
f1227,52,22,2.15
f1266,52,20,2.4875
f1424,52,30,2.0
f1476,52,30,3.325
f2666,52,24,1.7125
f2667,52,26,2.8
f277,52,25,2.375
f2858,52,27,3.975
f3094,52,26,2.3125
f3474,52,23,3.0375
f39,52,22,4.175
f4042,52,29,2.35
f4069,52,28,2.2875
f4196,52,19,2.1125
f4282,52,22,3.425
f4445,52,23,2.8125
f46,52,23,4.5
f4950,52,20,4.5
f4952,52,14,3.5
f5566,52,24,3.55
f5761,52,23,2.9875
f5877,52,23,1.275
f634,52,24,2.5
f82100,52,22,2.8375
f83100,52,19,2.5625
f8494,52,27,1.125
f885,52,30,1.225
f1444,51,31,4.3
f1753,51,25,4.825
f1767,51,25,2.575
f1788,51,19,2.7875
f1841,51,21,4.3875
f2257,51,23,2.55
f2530,51,23,2.9125
f2641,51,21,2.3875
f2754,51,21,2.175
f2882,51,21,3.2875
f2966,51,23,0.975
f3188,51,19,4.45
f3249,51,22,3.1
f3742,51,23,4.875
f375,51,26,3.1
f4474,51,27,1.9
f4657,51,23,4.6625
f473,51,23,3.2
f488,51,23,4.025
f4885,51,28,5.0
f5968,51,17,4.7625
f6166,51,23,4.2875
f6695,51,23,1.975
f6699,51,23,1.55
f7378,51,22,1.7375
f7577,51,27,0.8125
f84100,51,27,2.55
f8493,51,22,2.3625
f1068,50,18,3.05
f1176,50,23,3.6
f1449,50,24,2.025
f1567,50,24,1.7
f1927,50,21,3.6
f2066,50,24,3.0375
f2168,50,18,2.6375
f2241,50,18,4.1625
f232,50,30,3.0
f2634,50,20,2.65
f2657,50,24,2.3875
f2780,50,23,4.6125
f3567,50,24,2.825
f3842,50,28,4.5
f3850,50,31,2.025
f3877,50,28,3.5
f3958,50,26,2.7875
f4186,50,19,6.2
f4192,50,20,2.8
f4199,50,19,1.9
f482,50,22,2.5625
f4879,50,30,2.6125
f5269,50,26,4.425
f5376,50,23,1.8125
f5379,50,28,2.725
f5468,50,18,2.6375
f5792,50,22,2.1
f6872,50,20,2.35
f7273,50,26,5.05
f7581,50,30,5.1625
f7594,50,34,3.5
f8184,50,25,0.8125
f8285,50,26,2.85
f915,50,20,1.0
f969,50,30,2.2625
