run_name,pre_split_switch_mean5,post_split_switch_mean10,pre_split_residual2_mean5,post_split_residual2_mean10,minimizer_freeze_start,minimizer_period2_start,assignment_freeze_start,assignment_period2_start,min_margin_after_split_10,mean_margin_last20
split_all_at_20_transfer_instrumented,1756.4,3738.2,15.4,6.55,32,33,30,31,0.0,0.0
split_all_at_40_transfer_instrumented,2514.6,7540.8,15.2,8.1,,79,,77,0.0,1.5
