selected_k,a,b,n,mean_a,mean_b,mean_diff,wilcoxon_p,ci_low,ci_high,wins,ties,losses,d_z
100,DMS_split_at_100,DMS_split_0.5,25,31.4227,35.4195,-3.99682,0.366585,-9.99734,1.20995,16,0,9,-0.271502
100,DMS_split_at_100,DMS,25,31.4227,117.813,-86.3904,7.68734e-05,-114.786,-57.5918,20,2,3,-1.15043
100,DMS_split_at_100,Attentive,25,31.4227,47.4371,-16.0145,0.290446,-33.2175,-1.21131,13,1,11,-0.378339
