selected_k,a,b,n,mean_a,mean_b,mean_diff,wilcoxon_p,ci_low,ci_high,wins,ties,losses,d_z
100,DMS_split_at_100,DMS_split_0.5,25,14710.9,14725.3,-14.3269,0.338788,-57.3682,30.4401,17,0,8,-0.124513
100,DMS_split_at_100,DMS,25,14710.9,15203.2,-492.32,0.00737095,-778.125,-236.328,16,0,9,-0.685287
100,DMS_split_at_100,Attentive,25,14710.9,14609.5,101.438,1.508e-05,63.7999,142.595,4,0,21,0.992999
