algorithm,seed,final_cost,anytime_cost
DMS_split_at_100,10,17789.000025,17462.000025
DMS_split_at_1000,10,17729.000021,17591.000022
MS_split_0.5,10,18702.000025,18702.000025
MS_split_MGM_200,10,17906.000024,17906.000024
MS_split_opt_200,10,17832.000023,17832.000023
DMS,11,18743.000023,17686.000024
DMS_split_at_1000,11,18153.000023,17686.000024
DMS_split_0.5,11,17892.000024,17873.000024
DMS_split_at_100,11,18197.000020,17987.000026
DMS_split_0.4_0.6,11,18386.000025,17703.000024
DMS_split_at_300,11,18027.000024,17686.000024
DMS_split_at_50,11,17962.000026,17962.000026
DMS_split_at_500,11,17861.000025,17686.000024
DMS,12,18650.000027,16825.000028
DMS_split_at_500,12,17592.000028,16832.000028
DMS_split_at_300,12,17425.000025,16832.000028
DMS_split_at_50,12,17282.000028,17282.000028
DMS_split_at_100,12,16832.000028,16832.000028
DMS_split_0.5,12,17420.000029,17420.000029
DMS_split_0.4_0.6,12,17673.000028,17673.000028
DMS_split_at_1000,12,17355.000025,16825.000028
DMS,13,18261.000023,18261.000023
MS_split_0.5,11,19975.000024,19790.000024
MS_split_MGM_200,11,17811.000025,17811.000025
MS_split_opt_200,11,17807.000026,17807.000026
MS_split_0.5,12,18565.000029,18480.000027
MS_split_MGM_200,12,17031.000026,17031.000026
MS_split_opt_200,12,17020.000027,17020.000027
DMS_split_0.5,13,18151.000025,18133.000025
DMS_split_at_100,13,18234.000026,18192.000024
DMS_split_at_50,13,18380.000023,18380.000022
DMS_split_0.4_0.6,13,18073.000023,18073.000023
DMS_split_at_300,13,18261.000023,18261.000023
DMS_split_at_500,13,18261.000023,18261.000023
DMS,14,18444.000027,17704.000024
DMS_split_at_1000,13,18261.000023,18261.000023
MS_split_0.5,13,19548.000023,19147.000024
MS_split_MGM_200,13,18170.000023,18170.000023
MS_split_opt_200,13,18085.000025,18085.000025
DMS_split_0.5,14,18111.000026,18111.000026
DMS_split_at_50,14,18177.000024,17833.000028
DMS_split_0.4_0.6,14,18037.000026,17882.000026
DMS_split_at_100,14,17978.000025,17833.000028
DMS_split_at_1000,14,17897.000024,17704.000024
DMS_split_at_300,14,17885.000027,17704.000024
DMS_split_at_500,14,17846.000026,17704.000024
DMS,15,18984.000020,17715.000025
MS_split_0.5,14,19822.000024,19100.000025
MS_split_MGM_200,14,17878.000026,17878.000026
MS_split_opt_200,14,17737.000026,17737.000026
DMS_split_0.5,15,17904.000024,17904.000024
DMS_split_0.4_0.6,15,17749.000025,17749.000025
DMS_split_at_50,15,17806.000028,17715.000025
DMS_split_at_500,15,17918.000025,17715.000025
DMS_split_at_1000,15,18576.000022,17715.000025
DMS_split_at_100,15,18097.000026,17715.000025
DMS_split_at_300,15,18324.000024,17715.000025
DMS,16,18669.000025,17709.000026
MS_split_0.5,15,19437.000026,19179.000027
MS_split_MGM_200,15,17551.000026,17551.000026
MS_split_opt_200,15,17551.000026,17551.000026
DMS_split_0.5,16,18023.000025,17775.000025
DMS_split_0.4_0.6,16,18183.000025,18183.000025
DMS_split_at_500,16,17846.000024,17762.000026
DMS_split_at_100,16,18130.000024,18130.000024
DMS_split_at_300,16,17714.000024,17705.000023
DMS_split_at_50,16,18135.000025,17988.000023
DMS_split_at_1000,16,17991.000020,17709.000026
MS_split_0.5,16,19544.000023,19544.000023
MS_split_MGM_200,16,17562.000024,17562.000024
MS_split_opt_200,16,17562.000024,17562.000024
DMS,17,17884.000024,17839.000024
DMS_split_at_300,17,17884.000024,17839.000024
DMS_split_0.5,17,17856.000024,17856.000024
DMS_split_at_1000,17,17911.000024,17839.000024
DMS_split_at_500,17,17911.000024,17839.000024
DMS_split_at_100,17,17854.000023,17745.000023
DMS_split_0.4_0.6,17,18037.000024,17770.000025
DMS_split_at_50,17,17911.000024,17856.000023
MS_split_0.5,17,18795.000024,18196.000025
MS_split_MGM_200,17,17781.000026,17781.000026
MS_split_opt_200,17,17741.000026,17741.000026
DMS,18,19323.000027,17597.000022
DMS_split_at_1000,18,18029.000026,17597.000022
DMS_split_at_500,18,17436.000024,17436.000024
DMS_split_0.5,18,17699.000025,17699.000025
DMS_split_at_300,18,17952.000024,17678.000026
DMS_split_at_50,18,17699.000025,17643.000025
DMS_split_0.4_0.6,18,17905.000027,17812.000028
DMS_split_at_100,18,17946.000024,17678.000026
MS_split_0.5,18,18603.000026,18157.000026
MS_split_MGM_200,18,17699.000025,17699.000025
MS_split_opt_200,18,17682.000025,17682.000025
DMS,19,18152.000028,18052.000029
DMS_split_at_500,19,18152.000028,18052.000029
DMS_split_0.5,19,18060.000028,18060.000028
DMS_split_at_300,19,18152.000028,18052.000029
DMS_split_0.4_0.6,19,18251.000027,18214.000026
DMS_split_at_50,19,18152.000028,18129.000029
DMS_split_at_100,19,18152.000028,18052.000029
DMS_split_at_1000,19,18152.000028,18052.000029
MS_split_0.5,19,19189.000027,19171.000025
MS_split_MGM_200,19,17875.000027,17875.000027
MS_split_opt_200,19,17833.000027,17833.000027
DMS,20,18995.000024,17126.000027
DMS_split_at_500,20,17408.000025,17172.000026
DMS_split_0.5,20,17173.000021,17074.000022
DMS_split_at_300,20,17054.000020,17024.000020
DMS_split_0.4_0.6,20,17033.000022,17033.000022
DMS_split_at_50,20,17257.000025,17257.000025
DMS_split_at_100,20,17525.000027,17525.000027
DMS_split_at_1000,20,17247.000026,17172.000026
DMS,21,17183.000025,17183.000025
DMS_split_0.5,21,17298.000025,17224.000025
DMS_split_at_500,21,17781.000024,17568.000025
DMS_split_at_50,21,17710.000025,17710.000025
DMS_split_at_300,21,17471.000028,17388.000026
DMS_split_0.4_0.6,21,18111.000030,17898.000029
DMS_split_at_100,21,17414.000026,17361.000026
DMS_split_at_1000,21,17183.000025,17183.000025
DMS,22,17640.000028,17640.000028
DMS_split_at_100,22,17956.000032,17867.000027
DMS_split_0.5,22,18091.000029,18091.000029
DMS_split_at_50,22,17769.000027,17740.000027
DMS_split_0.4_0.6,22,18124.000026,18124.000026
DMS_split_at_300,22,17640.000028,17640.000028
DMS_split_at_500,22,17640.000028,17640.000028
MS_split_0.5,21,19537.000024,19275.000026
MS_split_MGM_200,21,17260.000025,17260.000025
MS_split_opt_200,21,17229.000028,17229.000028
DMS,23,18091.000026,17938.000026
DMS_split_at_1000,22,17640.000028,17640.000028
MS_split_0.5,20,19243.000022,18721.000023
MS_split_MGM_200,20,17188.000024,17188.000024
MS_split_opt_200,20,17152.000025,17152.000025
DMS_split_0.5,23,17755.000023,17613.000023
DMS_split_0.4_0.6,23,17751.000024,17614.000024
DMS_split_at_50,23,17982.000025,17829.000024
DMS_split_at_300,23,18233.000019,18031.000023
DMS_split_at_100,23,18178.000026,18178.000026
MS_split_0.5,22,20342.000028,20301.000029
MS_split_MGM_200,22,17482.000026,17482.000026
