selected_k,a,b,n,mean_a,mean_b,mean_diff,wilcoxon_p,ci_low,ci_high,wins,ties,losses,d_z
1500,DMS_split_at_1500,DMS_split_0.5,25,99010.7,99442.2,-431.435,1.49012e-06,-543.227,-317.407,23,0,2,-1.454
1500,DMS_split_at_1500,DMS,25,99010.7,99603,-592.239,0.0629791,-1242.58,-84.5502,5,18,2,-0.394183
1500,DMS_split_at_1500,Attentive,25,99010.7,98925.3,85.4104,0.0515763,0.329797,174.891,8,0,17,0.373706
