metric,algorithm_a,algorithm_b,n,mean_a,mean_b,mean_diff,t_stat,t_pvalue,wilcoxon_pvalue
final_cost,DMS_split_at_100,MS_split_MGM_200,50,101540,101562,-21.78,-0.237166,0.813517,0.878334
final_cost,DMS_split_at_100,MS_split_opt_200,50,101540,101562,-21.78,-0.237166,0.813517,0.878334
final_cost,DMS_split_at_100,Attentive,50,101540,99223.7,2316.12,28.0505,7.67546e-32,1.77636e-15
final_cost,DMS_split_at_100,DMS_split_at_1500,50,101540,101433,106.909,1.08703,0.28234,0.618594
final_cost,DMS_split_at_100,MS,50,101540,108077,-6536.71,-44.4151,3.01627e-41,1.77636e-15
final_cost,DMS_split_at_50,DMS_split_0.4_0.6,50,101530,101583,-53.1,-0.639494,0.525481,0.553942
final_cost,DMS_split_at_50,DMS_split_0.5,50,101530,101571,-40.78,-0.460244,0.647377,0.546265
final_cost,DMS_split_at_50,MS_split_0.5,50,101530,107330,-5799.84,-18.8176,4.55763e-24,3.55271e-15
final_cost,DMS_split_at_50,MS_split_MGM_200,50,101530,101562,-31.26,-0.36199,0.718916,0.885886
final_cost,DMS_split_at_50,MS_split_opt_200,50,101530,101562,-31.26,-0.36199,0.718916,0.885886
final_cost,DMS_split_at_50,Attentive,50,101530,99223.7,2306.64,37.5629,8.81318e-38,1.77636e-15
final_cost,DMS_split_at_50,DMS_split_at_1500,50,101530,101433,97.4289,1.30156,0.199153,0.201035
final_cost,DMS_split_at_50,MS,50,101530,108077,-6546.19,-41.3161,9.53594e-40,1.77636e-15
final_cost,DMS_split_0.4_0.6,DMS_split_0.5,50,101583,101571,12.32,0.139417,0.889692,0.848244
final_cost,DMS_split_0.4_0.6,MS_split_0.5,50,101583,107330,-5746.74,-18.0718,2.58862e-23,8.88178e-15
final_cost,DMS_split_0.4_0.6,MS_split_MGM_200,50,101583,101562,21.84,0.213489,0.831831,0.431911
final_cost,DMS_split_0.4_0.6,MS_split_opt_200,50,101583,101562,21.84,0.213489,0.831831,0.431911
final_cost,DMS_split_0.4_0.6,Attentive,50,101583,99223.7,2359.74,27.6694,1.44295e-31,1.77636e-15
final_cost,DMS_split_0.4_0.6,DMS_split_at_1500,50,101583,101433,150.529,1.6747,0.100365,0.0345308
final_cost,DMS_split_0.4_0.6,MS,50,101583,108077,-6493.09,-43.0588,1.3283e-40,1.77636e-15
