bench,seed,p,freeze,t95,final_commit,final,best,period
random_dense,0,0.5,35,49,0.9573002754820936,98762.29702080572,98762.29702080572,1
random_dense,0,0.55,44,61,0.9586776859504132,98762.29702080572,98762.29702080572,1
random_dense,0,0.6,26,40,0.9634986225895317,98909.27607468536,98909.27607468536,1
random_dense,0,0.7,66,80,0.9607438016528925,98440.28870792719,98440.28870792719,1
random_dense,0,0.8,116,131,0.9414600550964187,98302.27410760109,98302.27410760109,1
random_dense,0,0.9,117,182,0.9504132231404959,98380.27466290363,98380.27466290363,1
random_dense,0,0.95,60,2000,0.9263085399449036,98238.3014099603,98238.3014099603,1
random_dense,0,0.99,517,560,0.953168044077135,97938.26109035694,97938.26109035694,1
random_dense,0,1.0,484,2000,0.9269972451790633,98012.2441223322,98012.2441223322,1
random_dense,1,0.5,60,66,0.96900826446281,98486.23504667022,98486.23504667022,1
random_dense,1,0.55,50,78,0.9524793388429752,98654.24948285239,98654.24948285239,1
random_dense,1,0.6,38,84,0.9504132231404959,98654.24948285239,98654.24948285239,1
random_dense,1,0.7,310,115,0.9449035812672176,97948.24381782144,97948.24381782144,1
random_dense,1,0.8,1997,2000,0.8836088154269972,98051.23408126824,97959.23679865514,0
random_dense,1,0.9,159,157,0.9586776859504132,97714.23627507471,97714.23627507471,1
random_dense,1,0.95,81,81,0.953168044077135,97714.23627507471,97714.23627507471,1
random_dense,1,0.99,88,91,0.9424931129476584,97714.23627507471,97714.23627507471,1
random_dense,1,1.0,82,2000,0.8767217630853994,97714.23627507471,97714.23627507471,1
random_dense,2,0.5,84,2000,0.9117647058823529,99404.2514558418,99404.2514558418,1
random_dense,2,0.55,83,2000,0.9127906976744186,99404.2514558418,99404.2514558418,1
random_dense,2,0.6,79,2000,0.9124487004103967,99404.2514558418,99404.2514558418,1
random_dense,2,0.7,228,2000,0.9295485636114911,98980.23927882561,98980.23927882561,1
random_dense,2,0.8,58,77,0.9623803009575923,99181.24844507841,99181.24844507841,1
random_dense,2,0.9,125,2000,0.9463064295485636,98766.23170294364,98766.23170294364,1
random_dense,2,0.95,643,2000,0.9377564979480164,98676.24137265279,98676.24137265279,1
random_dense,2,0.99,293,2000,0.914500683994528,98721.2152254426,98721.2152254426,1
random_dense,2,1.0,780,2000,0.7694938440492476,98645.22974006044,98637.23561820717,1
random_dense,3,0.5,38,31,0.9084224598930482,101667.2347297892,101667.2347297892,1
random_dense,3,0.55,35,32,0.9084224598930482,101667.2347297892,101667.2347297892,1
random_dense,3,0.6,33,31,0.9040775401069518,101667.2347297892,101667.2347297892,1
random_dense,3,0.7,64,83,0.9552139037433155,101631.22704809904,101631.22704809904,1
random_dense,3,0.8,138,2000,0.9441844919786097,100989.22839982354,100989.22839982354,1
random_dense,3,0.9,126,2000,0.9131016042780749,100885.21665750431,100885.21665750431,1
random_dense,3,0.95,168,2000,0.9428475935828877,100773.22699014757,100773.22699014757,1
random_dense,3,0.99,111,122,0.9682486631016043,100687.226707669,100687.226707669,1
random_dense,3,1.0,1623,2000,0.9017379679144385,100844.21933104789,100686.24636955374,1
random_dense,4,0.5,56,71,0.9652482269503546,95317.26470257633,95317.26470257633,1
random_dense,4,0.55,110,129,0.9776595744680852,95262.27138224394,95262.27138224394,1
random_dense,4,0.6,70,92,0.974113475177305,95262.27138224394,95262.27138224394,1
random_dense,4,0.7,41,2000,0.9184397163120568,95278.2618888904,95278.2618888904,1
random_dense,4,0.8,55,2000,0.9460992907801419,95100.25440744055,95100.25440744055,1
random_dense,4,0.9,53,2000,0.9382978723404255,95100.25440744055,95100.25440744055,1
random_dense,4,0.95,48,2000,0.9312056737588652,95100.25440744055,95100.25440744055,1
random_dense,4,0.99,1059,2000,0.9322695035460993,94809.27618591848,94809.27618591848,1
random_dense,4,1.0,153,2000,0.8787234042553191,94946.2927121686,94946.2927121686,1
random_dense,5,0.5,63,2000,0.9114093959731544,100899.2440976336,100899.2440976336,1
random_dense,5,0.55,121,133,0.9630872483221476,100813.25499292414,100813.25499292414,1
random_dense,5,0.6,88,99,0.9627516778523489,100813.25499292414,100813.25499292414,1
random_dense,5,0.7,90,111,0.9543624161073826,100813.25499292414,100813.25499292414,1
random_dense,5,0.8,48,2000,0.9395973154362416,100813.25499292414,100813.25499292414,1
random_dense,5,0.9,439,2000,0.9416107382550336,100814.20447518052,100746.20858846602,1
random_dense,5,0.95,135,2000,0.924496644295302,100693.24995541533,100693.24995541533,1
random_dense,5,0.99,1627,2000,0.9446308724832215,101031.23456769672,100557.2582411565,1
random_dense,5,1.0,333,2000,0.8704697986577181,100596.25026803146,100596.25026803146,1
